buffer_distance_m,tp_length_m,fp_length_m,fn_length_m,tp_count,fp_count,fn_count,ml_total_length_m,osm_total_length_m,precision,recall,f1_score,iou,tile_id,xtile,ytile,lat,lon,ml_count,osm_count,building_coverage_pct,building_count,avg_building_size_m2,building_density_per_km2,total_building_area_m2,open_space_ratio,tile_area_m2,error_rate,false_positive_rate,false_negative_rate,area_type
5.0,53.18,0.0,40.86,2.0,0.0,41.0,53.18,114.79,1.0,0.5655,0.7225,0.5655,71,158646,193932,42.35220119796242,-71.06609344482422,2,115,15.26,2,243.37,627.23,486.74,0.8474,3188.64,0.27749999999999997,0.0,0.43449595916631223,Low Density
5.0,290.7,0.0,15.7,10.0,0.0,16.0,290.7,187.59,1.0,0.9488,0.9737,0.9488,72,158647,193925,42.355753199481114,-71.0654067993164,10,189,23.49,3,249.68,940.95,749.04,0.7651,3188.28,0.02629999999999999,0.0,0.051240208877284595,Low Density
5.0,84.19,0.0,0.0,2.0,0.0,0.0,84.19,64.94,1.0,1.0,1.0,1.0,73,158647,193926,42.3552457829835,-71.0654067993164,2,65,11.74,1,374.15,313.64,374.15,0.8826,3188.33,0.0,0.0,0.0,Low Density
5.0,190.05,0.0,0.0,14.0,0.0,0.0,190.05,133.77,1.0,1.0,1.0,1.0,74,158647,193927,42.35473836238896,-71.0654067993164,14,135,16.38,1,522.32,313.64,522.32,0.8362,3188.38,0.0,0.0,0.0,Low Density
5.0,463.54,0.0,0.0,29.0,0.0,0.0,463.54,343.17,1.0,1.0,1.0,1.0,75,158647,193928,42.35423093769748,-71.0654067993164,29,348,35.75,2,569.86,627.27,1139.73,0.6425,3188.43,0.0,0.0,0.0,Medium Density
5.0,292.33,0.0,0.0,11.0,0.0,0.0,292.33,200.3,1.0,1.0,1.0,1.0,76,158647,193929,42.35372350890908,-71.0654067993164,11,202,24.24,2,386.51,627.26,773.03,0.7576,3188.48,0.0,0.0,0.0,Low Density
5.0,204.25,10.49,0.0,8.0,1.0,0.0,214.74,126.46,0.9511,1.0,0.975,0.9511,77,158647,193930,42.35321607602376,-71.0654067993164,9,128,24.89,1,793.6,313.62,793.6,0.7511,3188.53,0.025000000000000022,0.04884977181708112,0.0,Low Density
5.0,261.63,34.18,0.0,6.0,4.0,0.0,295.81,105.77,0.8844,1.0,0.9387,0.8844,78,158647,193931,42.35270863904154,-71.0654067993164,10,107,32.88,2,524.16,627.24,1048.31,0.6712,3188.58,0.06130000000000002,0.11554714174639126,0.0,Medium Density
5.0,28.26,0.0,23.0,1.0,0.0,23.0,28.26,57.99,1.0,0.5513,0.7108,0.5513,79,158647,193932,42.35220119796242,-71.0654067993164,1,58,17.59,3,186.92,940.84,560.75,0.8241,3188.64,0.2892,0.0,0.4486929379633242,Low Density
5.0,338.1,0.0,4.96,10.0,0.0,5.0,338.1,227.63,1.0,0.9855,0.9927,0.9855,80,158648,193925,42.355753199481114,-71.0647201538086,10,229,36.26,1,1156.02,313.65,1156.02,0.6374,3188.28,0.007299999999999973,0.0,0.014458112283565557,Medium Density
5.0,484.36,0.0,35.49,16.0,0.0,36.0,484.36,258.34,1.0,0.9317,0.9647,0.9317,81,158648,193926,42.3552457829835,-71.0647201538086,16,260,30.95,1,986.63,313.64,986.63,0.6905,3188.33,0.0353,0.0,0.0682696931807252,Medium Density
5.0,216.12,0.0,65.2,3.0,0.0,66.0,216.12,177.55,1.0,0.7682,0.8689,0.7682,82,158648,193927,42.35473836238896,-71.0647201538086,3,179,18.44,1,588.06,313.64,588.06,0.8156,3188.38,0.1311,0.0,0.2317645386037253,Low Density
5.0,447.4,0.0,5.0,16.0,0.0,5.0,447.4,237.81,1.0,0.989,0.9944,0.989,83,158648,193928,42.35423093769748,-71.0647201538086,16,240,31.39,1,1000.7,313.63,1000.7,0.6861,3188.43,0.005600000000000049,0.0,0.011052166224580018,Medium Density
5.0,317.8,0.0,0.0,10.0,0.0,0.0,317.8,171.06,1.0,1.0,1.0,1.0,84,158648,193929,42.35372350890908,-71.0647201538086,10,173,24.49,1,780.88,313.63,780.88,0.7551,3188.48,0.0,0.0,0.0,Low Density
5.0,393.36,0.0,1.98,15.0,0.0,2.0,393.36,221.46,1.0,0.995,0.9975,0.995,85,158648,193930,42.35321607602376,-71.0647201538086,15,223,44.81,2,714.32,627.25,1428.63,0.5519,3188.53,0.0024999999999999467,0.0,0.005008347245409015,Medium Density
5.0,457.47,0.0,0.0,24.0,0.0,0.0,457.47,290.51,1.0,1.0,1.0,1.0,86,158648,193931,42.35270863904154,-71.0647201538086,24,293,68.49,6,364.0,1881.71,2184.01,0.3151,3188.58,0.0,0.0,0.0,High Density
5.0,233.12,0.0,0.0,24.0,0.0,0.0,233.12,183.87,1.0,1.0,1.0,1.0,87,158648,193932,42.35220119796242,-71.0647201538086,24,187,52.51,9,186.05,2822.53,1674.46,0.4749,3188.63,0.0,0.0,0.0,Medium Density
5.0,266.19,0.0,0.0,14.0,0.0,0.0,266.19,202.1,1.0,1.0,1.0,1.0,88,158649,193925,42.355753199481114,-71.06403350830078,14,204,34.35,1,1095.02,313.65,1095.02,0.6565,3188.27,0.0,0.0,0.0,Medium Density
5.0,222.72,0.0,24.67,6.0,0.0,25.0,222.72,145.35,1.0,0.9003,0.9475,0.9003,89,158649,193926,42.3552457829835,-71.06403350830078,6,148,23.85,1,760.26,313.64,760.26,0.7615,3188.33,0.05249999999999999,0.0,0.09972108816039453,Low Density
5.0,287.2,0.0,26.7,3.0,0.0,27.0,287.2,178.43,1.0,0.9149,0.9556,0.9149,90,158649,193927,42.35473836238896,-71.06403350830078,3,180,26.05,2,415.34,627.28,830.68,0.7395,3188.38,0.044399999999999995,0.0,0.08505893596686843,Low Density
5.0,278.4,0.0,0.0,6.0,0.0,0.0,278.4,186.13,1.0,1.0,1.0,1.0,91,158649,193928,42.35423093769748,-71.06403350830078,6,187,50.97,3,541.72,940.9,1625.17,0.4903,3188.43,0.0,0.0,0.0,Medium Density
5.0,393.52,0.0,4.92,10.0,0.0,5.0,393.52,229.62,1.0,0.9877,0.9938,0.9877,92,158649,193929,42.35372350890908,-71.06403350830078,10,232,51.28,7,233.56,2195.4,1634.94,0.4872,3188.48,0.006199999999999983,0.0,0.012348157815480373,Medium Density
5.0,322.99,0.0,9.88,17.0,0.0,10.0,322.99,205.67,1.0,0.9703,0.9849,0.9703,93,158649,193930,42.35321607602376,-71.06403350830078,17,211,45.19,8,180.13,2508.99,1441.03,0.5481,3188.53,0.015100000000000002,0.0,0.02968125694715655,Medium Density
5.0,88.83,0.0,0.0,1.0,0.0,0.0,88.83,34.97,1.0,1.0,1.0,1.0,94,158649,193931,42.35270863904154,-71.06403350830078,1,35,5.39,2,85.87,627.24,171.73,0.9461,3188.58,0.0,0.0,0.0,Open
5.0,30.94,0.0,66.58,4.0,0.0,67.0,30.94,114.22,1.0,0.3173,0.4817,0.3173,95,158649,193932,42.35220119796242,-71.06403350830078,4,115,14.97,3,159.15,940.84,477.45,0.8503,3188.63,0.5183,0.0,0.6827317473338802,Low Density
